,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Year,Month_Year,Discount_percentage,Selling Price Per Unit,Cost Price Per Unit
5079,34299,CA-2012-130610,2012-05-07,2012-10-07,Standard Class,VP-21730,Victor Preis,Home Office,Sterling Heights,Michigan,United States,48310.0,US,Central,OFF-BI-10003655,Office Supplies,Binders,Durable Pressboard Binders,19.0,5,0.0,8.93,2.2,High,2012,2012-05,0.0,3.8,2.0140000000000002
5080,35702,CA-2012-164336,2012-05-07,2012-10-07,Standard Class,MW-18220,Mitch Webber,Consumer,Philadelphia,Pennsylvania,United States,19140.0,US,East,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,38.976,3,0.2,-2.436,1.69,Medium,2012,2012-05,20.0,12.991999999999999,13.804
5081,35701,CA-2012-164336,2012-05-07,2012-10-07,Standard Class,MW-18220,Mitch Webber,Consumer,Philadelphia,Pennsylvania,United States,19140.0,US,East,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,34.8,3,0.2,2.175,1.47,Medium,2012,2012-05,20.0,11.6,10.875
5083,33932,CA-2012-116750,2012-05-07,2012-10-07,Second Class,BF-10975,Barbara Fisher,Corporate,Fayetteville,North Carolina,United States,28314.0,US,South,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,7.23,5,0.7,-5.784,0.9,Medium,2012,2012-05,70.0,1.4460000000000002,2.6028
5084,39595,US-2012-158911,2012-05-07,2012-11-07,Standard Class,RS-19765,Roland Schwarz,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.2717,0.88,Medium,2012,2012-05,20.0,3.9280000000000004,2.5041
5087,39594,US-2012-158911,2012-05-07,2012-11-07,Standard Class,RS-19765,Roland Schwarz,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,FUR-FU-10003829,Furniture,Furnishings,Stackable Trays,4.928,2,0.2,0.7392,0.38,Medium,2012,2012-05,20.0,2.464,2.0944
5088,33931,CA-2012-116750,2012-05-07,2012-10-07,Second Class,BF-10975,Barbara Fisher,Corporate,Fayetteville,North Carolina,United States,28314.0,US,South,FUR-FU-10003829,Furniture,Furnishings,Stackable Trays,4.928,2,0.2,0.7392,0.2,Medium,2012,2012-05,20.0,2.464,2.0944
5093,37152,CA-2012-112214,2012-05-08,2012-11-08,Standard Class,AH-10690,Anna Häberlin,Corporate,Dallas,Texas,United States,75220.0,US,Central,OFF-SU-10003567,Office Supplies,Supplies,Stiletto Hand Letter Openers,23.04,3,0.2,-4.896,1.63,Medium,2012,2012-05,20.0,7.68,9.312
5094,37151,CA-2012-112214,2012-05-08,2012-11-08,Standard Class,AH-10690,Anna Häberlin,Corporate,Dallas,Texas,United States,75220.0,US,Central,OFF-ST-10001505,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",33.488,7,0.2,-1.2558,1.48,Medium,2012,2012-05,20.0,4.784,4.9634
5095,37154,CA-2012-112214,2012-05-08,2012-11-08,Standard Class,AH-10690,Anna Häberlin,Corporate,Dallas,Texas,United States,75220.0,US,Central,FUR-FU-10002364,Furniture,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",14.76,5,0.6,-11.439,1.26,Medium,2012,2012-05,60.0,2.952,5.2398
5096,37153,CA-2012-112214,2012-05-08,2012-11-08,Standard Class,AH-10690,Anna Häberlin,Corporate,Dallas,Texas,United States,75220.0,US,Central,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,1.362,1,0.8,-2.1792,0.1,Medium,2012,2012-05,80.0,1.362,3.5412
5104,33057,CA-2012-130785,2012-05-09,2012-09-09,Standard Class,AG-10900,Arthur Gainer,Consumer,San Diego,California,United States,92105.0,US,West,FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",411.332,4,0.15,-4.8392,29.88,Medium,2012,2012-05,15.0,102.833,104.0428
5110,33059,CA-2012-130785,2012-05-09,2012-09-09,Standard Class,AG-10900,Arthur Gainer,Consumer,San Diego,California,United States,92105.0,US,West,FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",293.199,3,0.15,-20.6964,15.48,Medium,2012,2012-05,15.0,97.733,104.6318
5124,35785,CA-2012-162621,2012-05-09,2012-11-09,Standard Class,CA-12055,Cathy Armstrong,Home Office,Houston,Texas,United States,77036.0,US,Central,OFF-SU-10003567,Office Supplies,Supplies,Stiletto Hand Letter Openers,69.12,9,0.2,-14.688,5.48,Medium,2012,2012-05,20.0,7.680000000000001,9.312000000000001
5127,37970,CA-2012-135510,2012-05-09,2012-12-09,Standard Class,TW-21025,Tamara Willingham,Home Office,Charlottesville,Virginia,United States,22901.0,US,South,FUR-FU-10000820,Furniture,Furnishings,Tensor Brushed Steel Torchiere Floor Lamp,67.96,4,0.0,12.2328,4.49,Medium,2012,2012-05,0.0,16.99,13.931799999999999
5141,36579,CA-2012-105158,2012-05-09,2012-10-09,Standard Class,SP-20860,Sung Pak,Corporate,Rochester,Minnesota,United States,55901.0,US,Central,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,36.84,3,0.0,17.3148,1.42,Medium,2012,2012-05,0.0,12.280000000000001,6.508400000000001
5143,33058,CA-2012-130785,2012-05-09,2012-09-09,Standard Class,AG-10900,Arthur Gainer,Consumer,San Diego,California,United States,92105.0,US,West,OFF-BI-10001900,Office Supplies,Binders,"DXL Angle-View Binders with Locking Rings, Black",28.752,6,0.2,9.7038,1.36,Medium,2012,2012-05,20.0,4.792,3.1747
5145,35784,CA-2012-162621,2012-05-09,2012-11-09,Standard Class,CA-12055,Cathy Armstrong,Home Office,Houston,Texas,United States,77036.0,US,Central,OFF-BI-10000962,Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",16.27,5,0.8,-25.2185,0.82,Medium,2012,2012-05,80.0,3.254,8.2977
5146,36578,CA-2012-105158,2012-05-09,2012-10-09,Standard Class,SP-20860,Sung Pak,Corporate,Rochester,Minnesota,United States,55901.0,US,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,0.54,Medium,2012,2012-05,0.0,3.08,1.6016000000000001
5147,35786,CA-2012-162621,2012-05-09,2012-11-09,Standard Class,CA-12055,Cathy Armstrong,Home Office,Houston,Texas,United States,77036.0,US,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",4.47,3,0.8,-7.8225,0.14,Medium,2012,2012-05,80.0,1.49,4.0975
5164,40065,CA-2012-151722,2012-05-10,2012-09-10,Standard Class,IL-15100,Ivan Liston,Consumer,Columbus,Ohio,United States,43229.0,US,East,TEC-AC-10000892,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,288.0,4,0.2,57.6,27.89,Medium,2012,2012-05,20.0,72.0,57.6
5169,37523,CA-2012-133445,2012-05-10,2012-09-10,Standard Class,JF-15490,Jeremy Farry,Consumer,Portland,Oregon,United States,97206.0,US,West,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,291.168,4,0.2,-14.5584,17.42,High,2012,2012-05,20.0,72.792,76.4316
5172,36907,CA-2012-145828,2012-05-10,2012-07-10,First Class,MB-17305,Maria Bertelson,Consumer,Cincinnati,Ohio,United States,45231.0,US,East,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,53.04,3,0.2,-4.641,10.21,High,2012,2012-05,20.0,17.68,19.227
5174,37522,CA-2012-133445,2012-05-10,2012-09-10,Standard Class,JF-15490,Jeremy Farry,Consumer,Portland,Oregon,United States,97206.0,US,West,FUR-BO-10003660,Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",66.294,1,0.7,-103.8606,9.46,High,2012,2012-05,70.0,66.294,170.15460000000002
5181,32224,CA-2012-115091,2012-05-10,2012-09-10,Standard Class,JJ-15760,Joel Jenkins,Home Office,Springfield,Virginia,United States,22153.0,US,South,OFF-AR-10000658,Office Supplies,Art,Newell 324,46.2,4,0.0,12.936,4.65,Medium,2012,2012-05,0.0,11.55,8.316
5184,35918,CA-2012-161214,2012-05-10,2012-08-10,Second Class,SF-20965,Sylvia Foulston,Corporate,Wilmington,Delaware,United States,19805.0,US,East,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",77.55,5,0.0,21.714,4.27,Medium,2012,2012-05,0.0,15.51,11.1672
5191,32225,CA-2012-115091,2012-05-10,2012-09-10,Standard Class,JJ-15760,Joel Jenkins,Home Office,Springfield,Virginia,United States,22153.0,US,South,OFF-AP-10000696,Office Supplies,Appliances,Holmes Odor Grabber,28.84,2,0.0,9.5172,1.64,Medium,2012,2012-05,0.0,14.42,9.6614
5206,34207,CA-2012-118444,2012-05-11,2012-09-11,Standard Class,VD-21670,Valerie Dominguez,Consumer,Coral Springs,Florida,United States,33065.0,US,South,OFF-AP-10000576,Office Supplies,Appliances,"Belkin 325VA UPS Surge Protector, 6'",387.136,4,0.2,24.196,64.48,High,2012,2012-05,20.0,96.784,90.735
5218,36982,CA-2012-131072,2012-05-11,2012-05-11,Same Day,KL-16645,Ken Lonsdale,Consumer,Seattle,Washington,United States,98105.0,US,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",98.352,3,0.2,35.6526,31.08,Critical,2012,2012-05,20.0,32.784,20.899800000000003
5226,33129,CA-2012-131422,2012-05-11,2012-09-11,Standard Class,GB-14530,George Bell,Corporate,Monroe,North Carolina,United States,28110.0,US,South,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,207.0,3,0.2,25.875,13.76,Medium,2012,2012-05,20.0,69.0,60.375
5231,36370,CA-2012-145485,2012-05-11,2012-05-11,Same Day,JM-16195,Justin MacKendrick,Consumer,San Francisco,California,United States,94109.0,US,West,OFF-ST-10000649,Office Supplies,Storage,Hanging Personal Folder File,62.8,4,0.0,15.7,11.68,High,2012,2012-05,0.0,15.7,11.774999999999999
5241,40373,US-2012-136259,2012-05-11,2012-08-11,First Class,CB-12415,Christy Brittain,Consumer,Lakewood,Ohio,United States,44107.0,US,East,OFF-SU-10004661,Office Supplies,Supplies,Acme Titanium Bonded Scissors,27.2,4,0.2,2.04,9.25,Critical,2012,2012-05,20.0,6.8,6.29
5256,40372,US-2012-136259,2012-05-11,2012-08-11,First Class,CB-12415,Christy Brittain,Consumer,Lakewood,Ohio,United States,44107.0,US,East,OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,7.218,3,0.7,-5.5338,2.68,Critical,2012,2012-05,70.0,2.406,4.2505999999999995
5257,34606,CA-2012-144386,2012-05-11,2012-11-11,Standard Class,GT-14635,Grant Thornton,Corporate,New York City,New York,United States,10009.0,US,East,OFF-BI-10001116,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",25.344,6,0.2,8.8704,2.65,Low,2012,2012-05,20.0,4.224,2.7456
5262,35110,CA-2012-103961,2012-05-11,2012-09-11,Standard Class,NG-18430,Nathan Gelder,Consumer,Quincy,Illinois,United States,62301.0,US,Central,OFF-LA-10004484,Office Supplies,Labels,Avery 476,19.824,6,0.2,6.4428,1.33,Medium,2012,2012-05,20.0,3.3040000000000003,2.2302000000000004
5273,39697,CA-2012-110814,2012-05-12,2012-09-12,Second Class,BD-11635,Brian Derr,Consumer,New York City,New York,United States,10009.0,US,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,232.4,5,0.2,78.435,36.67,Medium,2012,2012-05,20.0,46.480000000000004,30.793
5276,36931,CA-2012-134943,2012-05-12,2012-06-12,First Class,SU-20665,Stephanie Ulpright,Home Office,Ann Arbor,Michigan,United States,48104.0,US,Central,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,152.8,5,0.0,76.4,21.87,Medium,2012,2012-05,0.0,30.560000000000002,15.280000000000001
5284,39617,CA-2012-142937,2012-05-12,2012-06-12,First Class,SF-20065,Sandra Flanagan,Consumer,Dallas,Texas,United States,75220.0,US,Central,OFF-AR-10003582,Office Supplies,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",45.04,2,0.2,4.504,10.64,Medium,2012,2012-05,20.0,22.52,20.268
5286,39944,US-2012-131842,2012-05-12,2012-08-12,First Class,RR-19525,Rick Reed,Corporate,Nashville,Tennessee,United States,37211.0,US,South,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",97.424,2,0.2,10.9602,7.34,Medium,2012,2012-05,20.0,48.712,43.2319
5288,39698,CA-2012-110814,2012-05-12,2012-09-12,Second Class,BD-11635,Brian Derr,Consumer,New York City,New York,United States,10009.0,US,East,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",164.646,3,0.1,12.8058,5.49,Medium,2012,2012-05,10.0,54.882,50.61339999999999
5292,35453,CA-2012-101091,2012-05-12,2012-09-12,Second Class,SW-20245,Scot Wooten,Consumer,Philadelphia,Pennsylvania,United States,19140.0,US,East,TEC-AC-10003280,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,47.984,2,0.2,0.5998,4.7,High,2012,2012-05,20.0,23.992,23.6921
5294,34973,CA-2012-156440,2012-05-12,2012-09-12,Standard Class,MH-17620,Matt Hagelstein,Corporate,San Diego,California,United States,92105.0,US,West,FUR-FU-10004090,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",44.46,2,0.0,14.6718,3.92,High,2012,2012-05,0.0,22.23,14.894100000000002
5297,35454,CA-2012-101091,2012-05-12,2012-09-12,Second Class,SW-20245,Scot Wooten,Consumer,Philadelphia,Pennsylvania,United States,19140.0,US,East,OFF-BI-10001107,Office Supplies,Binders,"GBC White Gloss Covers, Plain Front",26.064,6,0.7,-19.9824,3.15,High,2012,2012-05,70.0,4.344,7.6743999999999994
5298,39844,CA-2012-149566,2012-05-12,2012-10-12,Standard Class,GB-14530,George Bell,Corporate,Los Angeles,California,United States,90049.0,US,West,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,39.0,3,0.0,17.55,3.15,Medium,2012,2012-05,0.0,13.0,7.1499999999999995
5302,41021,CA-2012-117898,2012-05-12,2012-11-12,Standard Class,TB-21250,Tim Brockman,Consumer,Bloomington,Illinois,United States,61701.0,US,Central,OFF-EN-10004459,Office Supplies,Envelopes,Security-Tint Envelopes,12.224,2,0.2,4.4312,2.23,Low,2012,2012-05,20.0,6.112,3.8964000000000003
5305,39699,CA-2012-110814,2012-05-12,2012-09-12,Second Class,BD-11635,Brian Derr,Consumer,New York City,New York,United States,10009.0,US,East,OFF-PA-10004156,Office Supplies,Paper,Xerox 188,22.68,2,0.0,11.1132,2.06,Medium,2012,2012-05,0.0,11.34,5.783399999999999
5308,39845,CA-2012-149566,2012-05-12,2012-10-12,Standard Class,GB-14530,George Bell,Corporate,Los Angeles,California,United States,90049.0,US,West,OFF-LA-10000452,Office Supplies,Labels,Avery 488,12.6,4,0.0,6.048,0.48,Medium,2012,2012-05,0.0,3.15,1.638
5314,39013,CA-2012-149636,2012-06-01,2012-12-01,Standard Class,SP-20620,Stefania Perrino,Corporate,Colorado Springs,Colorado,United States,80906.0,US,West,OFF-PA-10004041,Office Supplies,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",29.6,5,0.2,9.25,2.7,Low,2012,2012-06,20.0,5.92,4.07
5320,39014,CA-2012-149636,2012-06-01,2012-12-01,Standard Class,SP-20620,Stefania Perrino,Corporate,Colorado Springs,Colorado,United States,80906.0,US,West,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,1.938,2,0.7,-1.3566,0.13,Low,2012,2012-06,70.0,0.969,1.6473
5324,39424,CA-2012-137064,2012-06-02,2012-02-13,Standard Class,TS-21655,Trudy Schmidt,Consumer,Houston,Texas,United States,77070.0,US,Central,OFF-ST-10003470,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",670.752,3,0.2,-125.766,98.65,Low,2012,2012-06,20.0,223.58399999999997,265.506
5325,36237,CA-2012-156482,2012-06-02,2012-02-13,Standard Class,IL-15100,Ivan Liston,Consumer,Wilmington,Delaware,United States,19805.0,US,East,FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1268.82,9,0.0,266.4522,89.3,Low,2012,2012-06,0.0,140.98,111.3742
5327,36238,CA-2012-156482,2012-06-02,2012-02-13,Standard Class,IL-15100,Ivan Liston,Consumer,Wilmington,Delaware,United States,19805.0,US,East,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",283.92,4,0.0,82.3368,22.89,Low,2012,2012-06,0.0,70.98,50.39580000000001
5328,40380,CA-2012-104038,2012-06-02,2012-08-02,First Class,LO-17170,Lori Olson,Corporate,Suffolk,Virginia,United States,23434.0,US,South,OFF-ST-10002554,Office Supplies,Storage,Tennsco Industrial Shelving,146.73,3,0.0,2.9346,22.58,Medium,2012,2012-06,0.0,48.91,47.9318
5338,40381,CA-2012-104038,2012-06-02,2012-08-02,First Class,LO-17170,Lori Olson,Corporate,Suffolk,Virginia,United States,23434.0,US,South,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,29.9,5,0.0,13.455,6.9,Medium,2012,2012-06,0.0,5.9799999999999995,3.289
5342,39423,CA-2012-137064,2012-06-02,2012-02-13,Standard Class,TS-21655,Trudy Schmidt,Consumer,Houston,Texas,United States,77070.0,US,Central,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,18.528,2,0.2,4.4004,1.88,Low,2012,2012-06,20.0,9.264,7.063799999999999
5345,36239,CA-2012-156482,2012-06-02,2012-02-13,Standard Class,IL-15100,Ivan Liston,Consumer,Wilmington,Delaware,United States,19805.0,US,East,OFF-AR-10001022,Office Supplies,Art,SANFORD Liquid Accent Tank-Style Highlighters,5.68,2,0.0,1.7608,1.03,Low,2012,2012-06,0.0,2.84,1.9596
5346,39422,CA-2012-137064,2012-06-02,2012-02-13,Standard Class,TS-21655,Trudy Schmidt,Consumer,Houston,Texas,United States,77070.0,US,Central,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,2.934,3,0.8,-4.9878,0.31,Low,2012,2012-06,80.0,0.9780000000000001,2.6406
5347,32851,CA-2012-111507,2012-06-02,2012-02-13,Standard Class,VW-21775,Victoria Wilson,Corporate,Bellevue,Washington,United States,98006.0,US,West,OFF-AR-10001315,Office Supplies,Art,Newell 310,5.28,3,0.0,1.5312,0.27,Low,2012,2012-06,0.0,1.76,1.2496
5350,33570,CA-2012-142944,2012-06-03,2012-11-03,Standard Class,JL-15850,John Lucas,Consumer,San Francisco,California,United States,94122.0,US,West,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,1119.984,2,0.2,377.9946,40.56,Medium,2012,2012-06,20.0,559.992,370.99469999999997
5356,33569,CA-2012-142944,2012-06-03,2012-11-03,Standard Class,JL-15850,John Lucas,Consumer,San Francisco,California,United States,94122.0,US,West,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,435.26,7,0.0,95.7572,10.96,Medium,2012,2012-06,0.0,62.18,48.5004
5393,33821,CA-2012-124541,2012-06-04,2012-10-04,Standard Class,TT-21220,Thomas Thornton,Consumer,Houston,Texas,United States,77041.0,US,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,42.048,9,0.2,5.256,5.04,High,2012,2012-06,20.0,4.672000000000001,4.088
5397,33822,CA-2012-124541,2012-06-04,2012-10-04,Standard Class,TT-21220,Thomas Thornton,Consumer,Houston,Texas,United States,77041.0,US,Central,TEC-AC-10002550,Technology,Accessories,Maxell 4.7GB DVD-RW 3/Pack,25.488,2,0.2,4.4604,2.27,High,2012,2012-06,20.0,12.744,10.5138
5398,34766,CA-2012-100888,2012-06-04,2012-10-04,Standard Class,MH-17455,Mark Hamilton,Consumer,Jacksonville,North Carolina,United States,28540.0,US,South,OFF-PA-10001019,Office Supplies,Paper,Xerox 1884,47.952,3,0.2,16.1838,2.03,Medium,2012,2012-06,20.0,15.984,10.5894
5403,33825,CA-2012-124541,2012-06-04,2012-10-04,Standard Class,TT-21220,Thomas Thornton,Consumer,Houston,Texas,United States,77041.0,US,Central,OFF-PA-10001526,Office Supplies,Paper,Xerox 1949,7.968,2,0.2,2.8884,1.16,High,2012,2012-06,20.0,3.984,2.5398
5404,33824,CA-2012-124541,2012-06-04,2012-10-04,Standard Class,TT-21220,Thomas Thornton,Consumer,Houston,Texas,United States,77041.0,US,Central,OFF-BI-10004209,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",9.648,6,0.8,-16.884,1.06,High,2012,2012-06,80.0,1.6079999999999999,4.422
5406,33823,CA-2012-124541,2012-06-04,2012-10-04,Standard Class,TT-21220,Thomas Thornton,Consumer,Houston,Texas,United States,77041.0,US,Central,OFF-BI-10004965,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,6.9,3,0.8,-12.075,0.7,High,2012,2012-06,80.0,2.3000000000000003,6.325
5466,32316,CA-2012-108665,2012-06-07,2012-10-07,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,United States,10011.0,US,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart ,601.65,5,0.0,156.429,77.87,High,2012,2012-06,0.0,120.33,89.0442
5470,33712,CA-2012-146087,2012-06-07,2012-11-07,Standard Class,PP-18955,Paul Prost,Home Office,Holyoke,Massachusetts,United States,1040.0,US,East,FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,301.96,2,0.0,60.392,28.98,Medium,2012,2012-06,0.0,150.98,120.78399999999999
5473,32314,CA-2012-108665,2012-06-07,2012-10-07,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,United States,10011.0,US,East,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",155.82,3,0.0,63.8862,15.93,High,2012,2012-06,0.0,51.94,30.644599999999997
5475,32315,CA-2012-108665,2012-06-07,2012-10-07,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,United States,10011.0,US,East,TEC-PH-10004188,Technology,Phones,OtterBox Commuter Series Case - Samsung Galaxy S4,124.95,5,0.0,2.499,13.57,High,2012,2012-06,0.0,24.990000000000002,24.4902
5476,36460,CA-2012-161627,2012-06-07,2012-11-07,Standard Class,SJ-20215,Sarah Jordon,Consumer,Pasadena,California,United States,91104.0,US,West,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,170.352,3,0.2,-17.0352,12.44,Medium,2012,2012-06,20.0,56.784,62.4624
5486,32313,CA-2012-108665,2012-06-07,2012-10-07,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,United States,10011.0,US,East,FUR-FU-10002191,Furniture,Furnishings,G.E. Halogen Desk Lamp Bulbs,13.96,2,0.0,6.7008,1.9,High,2012,2012-06,0.0,6.98,3.6296000000000004
5489,38134,CA-2012-116260,2012-06-07,2012-12-07,Standard Class,BF-10975,Barbara Fisher,Corporate,Vineland,New Jersey,United States,8360.0,US,East,OFF-AR-10003732,Office Supplies,Art,Newell 333,11.12,4,0.0,2.8912,0.71,Medium,2012,2012-06,0.0,2.78,2.0572
5498,40841,CA-2012-135251,2012-06-08,2012-10-08,Standard Class,RP-19270,Rachel Payne,Corporate,Houston,Texas,United States,77095.0,US,Central,FUR-BO-10003965,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,369.1992,3,0.32,-114.0174,19.92,Medium,2012,2012-06,32.0,123.0664,161.0722
5508,33603,CA-2012-160794,2012-06-08,2012-08-08,First Class,MS-17980,Michael Stewart,Corporate,Houston,Texas,United States,77041.0,US,Central,OFF-PA-10004156,Office Supplies,Paper,Xerox 188,27.216,3,0.2,9.8658,9.82,Critical,2012,2012-06,20.0,9.072000000000001,5.7834
5528,40840,CA-2012-135251,2012-06-08,2012-10-08,Standard Class,RP-19270,Rachel Payne,Corporate,Houston,Texas,United States,77095.0,US,Central,OFF-PA-10003302,Office Supplies,Paper,Xerox 1906,56.704,2,0.2,19.1376,3.41,Medium,2012,2012-06,20.0,28.352,18.7832
5530,40838,CA-2012-135251,2012-06-08,2012-10-08,Standard Class,RP-19270,Rachel Payne,Corporate,Houston,Texas,United States,77095.0,US,Central,OFF-LA-10004544,Office Supplies,Labels,Avery 505,35.52,3,0.2,13.32,3.25,Medium,2012,2012-06,20.0,11.840000000000002,7.400000000000001
5541,40839,CA-2012-135251,2012-06-08,2012-10-08,Standard Class,RP-19270,Rachel Payne,Corporate,Houston,Texas,United States,77095.0,US,Central,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,6.23,5,0.8,-9.6565,0.64,Medium,2012,2012-06,80.0,1.246,3.1773
5557,34716,CA-2012-150791,2012-06-09,2012-09-13,Standard Class,CC-12430,Chuck Clark,Home Office,New York City,New York,United States,10024.0,US,East,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",271.764,2,0.1,60.392,21.84,Medium,2012,2012-06,10.0,135.882,105.686
5563,37651,US-2012-109015,2012-06-09,2012-12-09,Standard Class,BS-11590,Brendan Sweed,Corporate,New York City,New York,United States,10011.0,US,East,TEC-PH-10002922,Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,337.98,2,0.0,101.394,12.63,Medium,2012,2012-06,0.0,168.99,118.293
5565,33500,CA-2012-138002,2012-06-09,2012-12-09,Standard Class,BT-11305,Beth Thompson,Home Office,Seattle,Washington,United States,98103.0,US,West,FUR-FU-10004748,Furniture,Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock",191.82,3,0.0,74.8098,11.34,Medium,2012,2012-06,0.0,63.94,39.0034
5569,33832,CA-2012-143238,2012-06-09,2012-08-09,First Class,LO-17170,Lori Olson,Corporate,La Quinta,California,United States,92253.0,US,West,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,46.32,4,0.0,18.0648,9.21,Medium,2012,2012-06,0.0,11.58,7.0638
5578,41277,US-2012-151435,2012-06-09,2012-09-09,Second Class,SW-20455,Shaun Weien,Consumer,Lafayette,Louisiana,United States,70506.0,US,South,FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,85.98,1,0.0,22.3548,4.51,Medium,2012,2012-06,0.0,85.98,63.62520000000001
5579,40087,CA-2012-169572,2012-06-09,2012-12-09,Standard Class,AG-10525,Andy Gerbode,Corporate,Richmond,Virginia,United States,23223.0,US,South,OFF-BI-10002799,Office Supplies,Binders,"SlimView Poly Binder, 3/8""",46.62,9,0.0,21.4452,4.21,Medium,2012,2012-06,0.0,5.18,2.7971999999999997
5586,37553,CA-2012-133977,2012-06-09,2012-08-09,Second Class,AT-10435,Alyssa Tate,Home Office,Tamarac,Florida,United States,33319.0,US,South,OFF-BI-10003166,Office Supplies,Binders,GBC Plasticlear Binding Covers,3.444,1,0.7,-2.5256,0.85,Critical,2012,2012-06,70.0,3.444,5.9696
